Time,FromRest,Run1,Run2,Run3,Run4,Run5,Run6,Run7,,MassAdded,T2,,,b
2.4,0.9035992,0.9656136,1.0309208,1.0364088,1.024884,1.0899168,1.0350368,1.0418968,,,,,,
2.45,0.8994832,0.9486008,1.0155544,1.019396,1.0081456,1.074276,1.0163776,1.0251584,,,,,,
2.5,0.8950928,0.9304904,0.9957976,1.00156,0.9867424,1.0613792,0.996072,1.0040296,,,,,,
2.55,0.8898792,0.9118312,0.975492,0.9820776,0.9664368,1.0418968,0.9730224,0.9861936,,,,,,
2.6,0.8846656,0.8928976,0.9538144,0.9593024,0.9475032,1.0251584,0.9532656,0.9680832,,,,,,
2.65,0.879452,0.8734152,0.9310392,0.9378992,0.9280208,1.0051272,0.930216,0.9447592,,,,,,
2.7,0.8742384,0.8542072,0.9079896,0.9173192,0.906892,0.98098,0.9074408,0.9255512,,,,,,
2.75,0.868476,0.8344504,0.8841168,0.894544,0.8841168,0.9582048,0.8832936,0.9035992,,,,,,
2.8,0.8635368,0.8155168,0.860244,0.8714944,0.861616,0.9348808,0.8591464,0.880824,,,,,,
2.85,0.8577744,0.7974064,0.8366456,0.847896,0.8391152,0.9126544,0.8352736,0.8583232,,,,,,
2.9,0.8522864,0.777924,0.8130472,0.8251208,0.8168888,0.887684,0.8089312,0.8336272,,,,,,
2.95,0.8473472,0.7609112,0.7899976,0.80262,0.793016,0.8624392,0.7883512,0.8133216,,,,,,
3,0.842408,0.7455448,0.7658504,0.7809424,0.772436,0.8358224,0.7636552,0.7913696,,,,,,
3.05,0.8377432,0.7318248,0.7447216,0.7576184,0.7526792,0.8133216,0.7430752,0.76832,,,,,,
3.1,0.8336272,0.7186536,0.7255136,0.738136,0.7331968,0.7867048,0.7227696,0.7480144,,,,,,
3.15,0.8289624,0.7082264,0.7071288,0.7194768,0.7156352,0.7636552,0.7032872,0.7293552,,,,,,
3.2,0.8232,0.6994456,0.6909392,0.7019152,0.6999944,0.7411544,0.686,0.710696,,,,,,
3.25,0.8174376,0.6917624,0.6766704,0.6876464,0.6857256,0.7203,0.670908,0.6947808,,,,,,
3.3,0.8116752,0.6870976,0.664048,0.673652,0.6731032,0.6999944,0.6569136,0.6796888,,,,,,
3.35,0.8061872,0.6835304,0.654444,0.6624016,0.6624016,0.6821584,0.6442912,0.6656944,,,,,,
3.4,0.801248,0.683256,0.646212,0.6538952,0.654444,0.6662432,0.6355104,0.6547184,,,,,,
